Pos,Equipevde,Pts,J,V,E,D,GP,GC,SG,Classificação ou descenso,Ano
1,Palmeiras(C),70,38,20,10,8,64,33,+31,Fase de grupos daCopa Libertadores de 2024,2023
2,Grêmio,68,38,21,5,12,63,56,+7,Fase de grupos daCopa Libertadores de 2024,2023
3,Atlético Mineiro,66,38,19,9,10,52,32,+20,Fase de grupos daCopa Libertadores de 2024,2023
4,Flamengo,66,38,19,9,10,56,42,+14,Fase de grupos daCopa Libertadores de 2024,2023
5,Botafogo,64,38,18,10,10,58,37,+21,Segunda fase daCopa Libertadores de 2024,2023
6,Red Bull Bragantino,62,38,17,11,10,49,35,+14,Segunda fase daCopa Libertadores de 2024,2023
7,Fluminense,56,38,16,8,14,51,47,+4,Fase de grupos daCopa Libertadores de 2024,2023
8,Athletico Paranaense,56,38,14,14,10,51,43,+8,Fase de grupos daCopa Sul-Americana de 2024,2023
9,Internacional,55,38,15,10,13,46,45,+1,Fase de grupos daCopa Sul-Americana de 2024,2023
10,Fortaleza,54,38,15,9,14,45,44,+1,Fase de grupos daCopa Sul-Americana de 2024,2023
11,São Paulo,53,38,14,11,13,40,38,+2,Fase de grupos daCopa Libertadores de 2024,2023
12,Cuiabá,51,38,14,9,15,40,39,+1,Fase de grupos daCopa Sul-Americana de 2024,2023
13,Corinthians,50,38,12,14,12,47,48,−1,Fase de grupos daCopa Sul-Americana de 2024,2023
14,Cruzeiro,47,38,11,14,13,35,32,+3,Fase de grupos daCopa Sul-Americana de 2024,2023
15,Vasco da Gama,45,38,12,9,17,41,51,−10,,2023
16,Bahia,44,38,12,8,18,50,53,−3,,2023
17,Santos,43,38,11,10,17,39,64,−25,Rebaixados àSérie B de 2024,2023
18,Goiás,38,38,9,11,18,36,53,−17,Rebaixados àSérie B de 2024,2023
19,Coritiba,30,38,8,6,24,41,73,−32,Rebaixados àSérie B de 2024,2023
20,América Mineiro,24,38,5,9,24,42,81,−39,Rebaixados àSérie B de 2024,2023
1,Botafogo(C),79,38,23,10,5,59,29,+30,Fase de grupos daCopa Libertadores de 2025,2024
2,Palmeiras,73,38,22,7,9,60,33,+27,Fase de grupos daCopa Libertadores de 2025,2024
3,Flamengo,70,38,20,10,8,61,42,+19,Fase de grupos daCopa Libertadores de 2025,2024
4,Fortaleza,68,38,19,11,8,53,39,+14,Fase de grupos daCopa Libertadores de 2025,2024
5,Internacional,65,38,18,11,9,53,36,+17,Fase de grupos daCopa Libertadores de 2025,2024
6,São Paulo,59,38,17,8,13,53,43,+10,Fase de grupos daCopa Libertadores de 2025,2024
7,Corinthians,56,38,15,11,12,54,45,+9,Segunda fase daCopa Libertadores de 2025,2024
8,Bahia,53,38,15,8,15,49,49,0,Segunda fase daCopa Libertadores de 2025,2024
9,Cruzeiro,52,38,14,10,14,43,41,+2,Fase de grupos daCopa Sul-Americana de 2025,2024
10,Vasco da Gama,50,38,14,8,16,43,56,−13,Fase de grupos daCopa Sul-Americana de 2025,2024
11,Vitória,47,38,13,8,17,45,52,−7,Fase de grupos daCopa Sul-Americana de 2025,2024
12,Atlético Mineiro,47,38,11,14,13,47,54,−7,Fase de grupos daCopa Sul-Americana de 2025,2024
13,Fluminense,46,38,12,10,16,33,39,−6,Fase de grupos daCopa Sul-Americana de 2025,2024
14,Grêmio,45,38,12,9,17,44,50,−6,Fase de grupos daCopa Sul-Americana de 2025,2024
15,Juventude,45,38,11,12,15,47,59,−12,,2024
16,Red Bull Bragantino,44,38,10,14,14,44,48,−4,,2024
17,Athletico Paranaense,42,38,11,9,18,40,46,−6,Rebaixados àSérie B de 2025,2024
18,Criciúma,38,38,9,11,18,42,61,−19,Rebaixados àSérie B de 2025,2024
19,Atlético Goianiense,30,38,7,9,22,29,58,−29,Rebaixados àSérie B de 2025,2024
20,Cuiabá,30,38,6,12,20,29,49,−20,Rebaixados àSérie B de 2025,2024
1,Flamengo(C),79,38,23,10,5,78,27,+51,Fase de grupos daCopa Libertadores de 2026,2025
2,Palmeiras,76,38,23,7,8,66,33,+33,Fase de grupos daCopa Libertadores de 2026,2025
3,Cruzeiro,70,38,19,13,6,55,31,+24,Fase de grupos daCopa Libertadores de 2026,2025
4,Mirassol,67,38,18,13,7,63,39,+24,Fase de grupos daCopa Libertadores de 2026,2025
5,Fluminense,64,38,19,7,12,50,39,+11,Fase de grupos daCopa Libertadores de 2026,2025
6,Botafogo,63,38,17,12,9,58,38,+20,Segunda fase daCopa Libertadores de 2026,2025
7,Bahia,60,38,17,9,12,50,46,+4,Segunda fase daCopa Libertadores de 2026,2025
8,São Paulo,51,38,14,9,15,43,47,−4,Fase de grupos daCopa Sul-Americana de 2026,2025
9,Grêmio,49,38,13,10,15,47,50,−3,Fase de grupos daCopa Sul-Americana de 2026,2025
10,Red Bull Bragantino,48,38,14,6,18,45,57,−12,Fase de grupos daCopa Sul-Americana de 2026,2025
11,Atlético Mineiro,48,38,12,12,14,43,44,−1,Fase de grupos daCopa Sul-Americana de 2026,2025
12,Santos,47,38,12,11,15,45,50,−5,Fase de grupos daCopa Sul-Americana de 2026,2025
13,Corinthians,47,38,12,11,15,42,47,−5,Fase de grupos daCopa Libertadores de 2026,2025
14,Vasco da Gama,45,38,13,6,19,55,60,−5,Fase de grupos daCopa Sul-Americana de 2026,2025
15,Vitória,45,38,11,12,15,35,52,−17,,2025
16,Internacional,44,38,11,11,16,44,57,−13,,2025
17,Ceará,43,38,11,10,17,34,40,−6,Rebaixados àSérie B de 2026,2025
18,Fortaleza,43,38,11,10,17,43,58,−15,Rebaixados àSérie B de 2026,2025
19,Juventude,35,38,9,8,21,35,69,−34,Rebaixados àSérie B de 2026,2025
20,Sport,17,38,2,11,25,28,75,−47,Rebaixados àSérie B de 2026,2025
